Name,Description,Founded,Business Model,Employees,Funding Stage,Total Raised,Tags
Kando,Kando Wastewater Intelligence Solution,2011,"B2B, B2G",51-200,B,$20.04M,", , , , , , , , , , , , , , big-data, actionable-insights"
KanduAI,KanduAI AI-powered Audience Analytics,2018,B2B,11-50,Seed,$3.5M,", , , , , , digital-signage, iot, retail, advertising"
Kardome Technology,Kardome Technology Voice User Interface Technology,2019,B2B,11-50,A,$11M,", , , , , , , , smart-mobility, driver-safety"
Karma,Karma Smart Online Shopping Assistant,2013,"B2B, B2C",51-200,A,$26.2M,", , , , , , , , , , price-comparison, shopping-experience"
KARma Technologies,KARma Technologies Wireless Virtual-reality Solutions,2016,"B2B, B2C",1-10,Seed,Undisclosed,", , , , , , , eye-tracking, game-developers"
KAYA Instruments,KAYA Instruments Machine Vision Hardware and Software Developer,2008,"B2B, B2G",11-50,Mature,Undisclosed,", , , , , hardware, cameras, optronics"
KeepUp Health,KeepUp Health Fatal Disease Screening,2022,B2B2C,1-10,Pre-Funding,Undisclosed,", , , , , , , , , , , , , , , , , , , , , , public-health, early-detection"
Kemtai,"Kemtai Computer-vision Platform for Guided Home Exercise protocols for MSK, Physiotherapy and Rehab",2019,"B2B, B2B2C",11-50,Seed,$5.5M,", , , , , , , , , digital-healthcare, rehabilitation"
Keotic Networks,Keotic Networks AI for Autonomous Knowledge Management,2015,B2B,1-10,Pre-Funding,Undisclosed,", , , , content-sharing, deep-learning"
Kerberus Cyber Security,Kerberus Cyber Security Web3 Security Protection,2022,B2B,1-10,Pre-Funding,Undisclosed,", , , cryptocurrency, safe-browsing"
Keylabs AI,Keylabs AI Data Labeling and Image Annotation,2019,B2B,1-10,Seed,$1.2M,", , , , , , artificial-intelligence, deep-learning"
KIDOZ,KIDOZ ACQUIRED Kid-focused Content Discovery Platform,2008,"B2B, B2C",11-50,Public,$4.95M,", , , , , , , , , , , , , game-developers, safe-browsing"
Kiki,Kiki Event Platform for Vendors and Consumers,2021,B2B,1-10,Pre-Funding,Undisclosed,", , , event-organizers, artificial-intelligence, events"
Kima Network,Kima Network Seamlessly Connecting Traditional and Web3 Financial Ecosystems,2021,"B2B, B2B2C, B2G",11-50,Pre-Seed,$2.5M,", , , , , , , , , , , , , , , mobile-applications, recommendations"
Kinor Technologies,Kinor Technologies Automated Data Integration Platform,2002,B2B,11-50,Mature,Undisclosed,", , , , , , artificial-intelligence, enterprise-solutions"
Kissterra,Kissterra Intelligent Marketing Orchestration Platform,2015,"B2B, B2B2C",51-200,A,$76M,", , , , , , , monetization, deep-learning"
Kitchen Robotics,Kitchen Robotics Kitchen Automation and Robotics,2018,"B2B, B2C",11-50,A,$10.75M,", , , , , , , , , robotics, deep-learning"
Klear,Klear ACQUIRED Influencer Marketing Platform,2012,"B2B, B2C",11-50,Acquired,$2.9M,", , , , , , , , , , , , , , , advertisers, search-engine"
Konnecto,Konnecto AI-powered Consumer Intelligence Platform,2018,B2B,11-50,A,$21M,", , , , , , , , , , , , , , , , , , , traveltech, behavior-analytics"
Kubiya.ai,Kubiya.ai DevOps Virtual Assistant for Cloud Operations,2022,B2B,11-50,Seed,$12M,", , , , , , natural-language-processing, software-applications"
LadySense,LadySense Remote Gynecological Examination Platform,2017,"B2B, B2B2C",1-10,Pre-Funding,Undisclosed,", , , , , , , , , , , telemedicine, cameras, femtech"
Lagos Analytics,Lagos Analytics On-chain Behavioral Profiles,2022,B2B,1-10,Pre-Funding,Undisclosed,", data-analytics, enterprise-solutions"
LahakX,LahakX Agricultural Spraying Technology,2017,B2B,1-10,Pre-Funding,$960K,", , , , , , , , , , , , artificial-intelligence, unmanned-aerial-vehicle, mosquitos"
Laminar,Laminar ACQUIRED Public Cloud Data Protection,2020,B2B,11-50,Acquired,$67M,", , , , saas, cloud-security"
LawGeex,LawGeex AI-powered Contract Review Automation,2014,B2B,11-50,Seed,$46.75M,", , , , , , , , , , , , service-providers, natural-language-processing"
LEADERS,LEADERS SaaS Solution for Workflow Automation and Influencer Marketing,2017,B2B,11-50,A,$0,", , , , , , , , big-data, saas, data-analytics"
Leadspace,Leadspace Audience Management Platform,2007,B2B,51-200,D,$102M,", , , , , , , , , , , , , , , customer-engagement, audience-targeting"
LeO,LeO Virtual Assistant for Insurance Professionals,2016,B2B,51-200,Seed,$7.29M,", , , , , , , , , , automation, customer-service"
Leo AI,Leo AI Generative AI Engineering Design Platform,2023,B2B,11-50,Seed,Undisclosed,"3d-design, cad, artificial-intelligence"
LETT DO,LETT DO Services Marketplace & Business Growth Platform,2022,B2B2C,11-50,Seed,$30K,", , , , , , , , , , mobile-advertising, machine-learning, marketing"
Lezel,Lezel Tailor-made Cannabis Oil Formulas,2019,B2C,11-50,Seed,Undisclosed,", , , , , , , , consumers, machine-learning"
LifeOnKey,LifeOnKey Smart Telehealth Platform,2007,"B2B, B2B2C",1-10,Mature,$12M,", , , , , , , , , , , , , , , , , , , remote-monitoring, personalization, saas"
Lightkey Sources,Lightkey Sources AI-powered Writing Assistant for Windows,2016,"B2B, B2C",1-10,Pre-Funding,Undisclosed,", , , , , , , , , , text-analytics, natural-language-processing"
Lima,Lima AI Prediction Platform for Reducing Overproduction in Fashion,2024,B2B,1-10,Pre-Funding,Undisclosed,", , , , , , , , , , , , , enterprise-software, consumer-engagement"
Lingopie,Lingopie Language Learning with TV Shows and Movies,2018,B2C,51-200,Seed,Undisclosed,", , , , , , self-learning, entertainment"
Linguistic Agents,Linguistic Agents Platform for Training Intelligent Agents,1999,"B2B, B2C",1-10,Mature,Undisclosed,", , , , , developers, deep-learning"
Linok,Linok Sensor for Milk Tanks for Early Detection of Mastitis in Cows,2024,B2B,1-10,Pre-Seed,$0,", , , , , , , , , , , , , animal-feeding, animal-health"
Lisuto,Lisuto eCommerce Multi-channel Distribution Platform,2015,"B2B, B2B2C",11-50,A,Undisclosed,", , , , , , , , , , , , , deep-learning, shopping-experience"
LiteBC,LiteBC Noninvasive Blood Count Analyzer,2019,B2B,11-50,Seed,Undisclosed,", , , , , , , , , , , medical-devices, digital-healthcare"
LitiGate,LitiGate AI-powered Litigation Platform,2017,B2B,1-10,Seed,$5M,", , , , , web-platform, artificial-intelligence"
LittleOne.Care,LittleOne.Care AI Support Platform for Parents of Infants,2018,B2C,1-10,Seed,$2.39M,", , , , , , , , , , , , , , , , , mobile-applications, personalization, wearable"
LiveMetric,LiveMetric Wearable Blood Pressure Monitoring Device,2015,"B2B, B2C",11-50,A,$24.02M,", , , , , healthcare, artificial-intelligence, wearable"
Livez,Livez Mobile App for Personalized Preventive Medicine,2020,B2B2C,11-50,Pre-Funding,Undisclosed,", , , , , , , , prevention, digital-healthcare"
Logical Commander Software,Logical Commander Software Risk Management and Security Solutions,2018,"B2B, B2B2C, B2G",1-10,Pre-Funding,$0,", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , recruitment, laboratories"
Logz.io,Logz.io Cloud Native Observability Platform for DevOps,2014,B2B,51-200,E,$120.8M,", , , , , , , , , , , , artificial-intelligence, data-management, productivity"
Loops,Loops Analytics Platform for Product Managers and Growth Managers,2020,B2B,51-200,Seed,$14M,", , , , , enterprise-solutions, product-management"
Loora,Loora Personal AI English Tutor,2020,"B2B2C, B2C",11-50,A,$21.25M,", , , , , , , , , , , edtech, web-platform"
Loris,Loris AI Conversational Platform,2018,B2B,51-200,A,$19.1M,", , , machine-learning, customer-service"
Ludus Technologies,Ludus Technologies Innovative Proprietary AI-Driven Cognitive and Behavioral Models,2014,B2C,11-50,Mature,Undisclosed,", , , , , , , , , , , entertainment, media, sports"
Ludus Technologies,Ludus Technologies Interactive Tool for Alleviating Test Anxiety in Students,2019,B2B,1-10,Pre-Funding,Undisclosed,", , , , , , , , , , , , personalization, knowledge-technology, productivity"
Lumana,Lumana AI-powered Video Security and Safety Platform,2022,"B2B, B2G",11-50,Seed,$24M,", , , , , security, safety, saas"
Lumen,Lumen Virtual Nutritionist and Metabolism Measurement Device,2014,"B2B, B2C",201-500,B,$79M,", , , , , , , , , , , , , , personalization, digital-therapeutics, sensors"
Lumigo,Lumigo Serverless Operations Platform,2018,B2B,11-50,A,$37M,", , , serverless, cloud-based"
Lumus,Lumus Lightweight AR Eyewear,2000,"B2B, B2C, B2G",51-200,Mature,$62.3M,", , , , , , , , , , , , , , , , , , mixed-reality, consumers, optronics"
Lynxight,Lynxight Aquatic Safety and Pool Management Solutions,2019,B2B,11-50,Seed,$7.61M,", , , , safety, machine-learning, water"
Madgicx,Madgicx The SuperApp for Meta Advertisers. The secret tool top ad agencies use to run all accounts.,2018,B2B,51-200,Pre-Funding,Undisclosed,", , , , , , , , , , , , targeting, campaign-optimization, adtech"
MagniLearn,MagniLearn Lifelong Accelerated Learning,2019,"B2B, B2B2C",11-50,Seed,$2.8M,", , , , , , , , , edtech, saas, mobile-applications"
Maiura Labs,Maiura Labs AI-powered Pricing Solution,2021,B2B,1-10,Pre-Funding,Undisclosed,", , , , , computer-vision, data-mining, pricing"
MakeSense,MakeSense AI-based Technology for Measuring Nutritional Values of Meals,2018,"B2B, B2C",1-10,Pre-Seed,Undisclosed,", , , , , , , , , , nutrition, personalization"
Mantis Vision,Mantis Vision 3D Technology for the Mobile World,2005,"B2B, B2C, B2G",11-50,Mature,$87.2M,", , , , , , , , game-developers, 5g-networks, sensors"
MAOLAC,MAOLAC Precision Proteins,2021,"B2B, B2B2C",11-50,Seed,$4.05M,", , , , , , , , , , bioinformatics, artificial-intelligence"
Marketeam.ai,Marketeam.ai Autonomous AI Marketing Agents Platform,2021,B2B,11-50,Pre-Funding,$0,", artificial-intelligence, natural-language-processing"
Marpe Technologies,Marpe Technologies Scanning System for Early Detection of Skin Cancer,2012,B2B,1-10,Mature,$550K,", , , , , , , , , , , , decision-support, early-detection"
Mata,Mata Autonomous Method for Thinning Trees,2022,"B2B, B2C, B2G",1-10,Pre-Funding,Undisclosed,", , , , , data-gathering, agtech, agriculture"
Materials Zone,Materials Zone Lean R&D Solution for Materials and Chemistry Professionals,2017,B2B,11-50,A,$9.72M,", , , , , , , , machine-learning, enterprises, industry-4.0"
Mavens,Mavens ACQUIRED App Store A/B Testing Platform,2014,B2B,51-200,Acquired,$400K,", , , , , , , , , , tracking, machine-learning"
Maverick Medical AI,Maverick Medical AI AI-based Autodidactic and Autonomous Medical Coding Platform,2017,B2B,11-50,Seed,$10.4M,", , , , , , , , , , , deep-learning, actionable-insights"
MDClone,MDClone Healthcare Data Analytics Platform,2015,B2B,51-200,C,$104.25M,", , , , , , , , , , , , , , , , hospitals, data-protection"
MDI Health,MDI Health AI-based Pharmacology Intelligence Platform,2019,"B2B, B2B2C",51-200,A,$30.5M,", , , , , , , , , , , , , , , , , , , , decision-support, saas, medication"
Medasense Biometrics,Medasense Biometrics Noninvasive Pain-monitoring Solutions,2008,B2B,11-50,C,$33.5M,", , , , , , , , , , , , , , , , , , , , , , early-detection, remote-monitoring"
medcase,medcase Global Network for On-demand Access to Medical Expertise,2017,B2B,51-200,A,$4.1M,", , , , , , , , pharma-companies, digital-healthcare, saas"
MedDesk,MedDesk Smart Desk for Medical Staff,2022,B2B,1-10,Seed,$500K,", artificial-intelligence, digital-healthcare"
MedHub-AI,MedHub-AI Video Analysis Diagnostics,2018,"B2B, B2C",11-50,A,$6.77M,", , , , , , , , , , , , , , , , , , insurance-companies, decision-support"
Medic Vision Imaging Solutions,Medic Vision Imaging Solutions Diagnostic Imaging Enhancement,2006,B2B,11-50,G,$4.5M,", , , , , , , , , , 3d-technology, diagnostics, optronics"
Medisafe,Medisafe Medication Management Platform,2012,"B2B, B2B2C, B2C",51-200,C,$51.5M,", , , , , , , , , , , , , , , , , , predictive-analytics, digital-therapeutics"
Medivizor,Medivizor Personalized Health Information Platform,2012,"B2B, B2B2C, B2C",1-10,Mature,Undisclosed,", , , , , , , , , , , , , healthcare-providers, patient-engagement"
MedOrion,MedOrion AI-based Health Behavior Management Platform,2017,B2B,11-50,A,$8.8M,", , , , , , , , , , , , , , , , , saas, mhealth, healthcare-providers"
Medva GIS,Medva GIS Spatial Decision-support Systems,2014,"B2B, B2G",1-10,Mature,Undisclosed,", , , , , , , , , , , , , , , , , , , , , artificial-intelligence, pest-control"
Melingo,Melingo Online Dictionaries and Search Engines,2001,"B2B, B2C, B2G",11-50,Mature,Undisclosed,", , , , , , , , , , , , software-applications, enterprise-solutions"
Membit Bot,Membit Bot Managed AI Chatbot Solution,2016,"B2B2C, B2G",1-10,Pre-Funding,Undisclosed,", , , , , , , , , ecommerce, municipalities, automation"
MeMed Diagnostics,MeMed Diagnostics Diagnostic Tools for Infectious Diseases,2009,B2B,51-200,E,$223.43M,", , , , , , , , , , , , , , , babies, clinics, early-detection, blood-test"
Memomi Labs,Memomi Labs ACQUIRED AI-powered Shopping Experience,2016,B2B2C,1-10,Acquired,Undisclosed,", , , , , , retail, software-applications, fashion"
MeNow,MeNow AI-based Recommendation Platform for Personalized Cosmetics,2022,B2B,11-50,Pre-Funding,Undisclosed,", , , artificial-intelligence, cosmetics, skin-care"
meshek{76};,meshek{76}; AI-based Autonomous Agriculture,2017,B2B,1-10,Pre-Funding,$0,", , , , , , , , , , , agriculture, data-analytics, automation"
Meteku AI,Meteku AI Combating Disinformation on Social Media,2021,B2B,1-10,Pre-Funding,Undisclosed,", , artificial-intelligence, content-management"
Meteo-Logic,Meteo-Logic Weather-driven Energy Commodity Algorithmic Trading,2011,B2B,11-50,Seed,$2.2M,", , , , , , , , , , , , , , agriculture, energy-forcasting, energytech"
Metha Artificial Intelligence,Metha Artificial Intelligence AI-driven Microbiome Analytics Technology for Reducing Livestock Methane Emissions,2022,B2B,11-50,Seed,Undisclosed,", , , , livestock, animal-feeding, agriculture"
Metis Augmented Intelligence,Metis Augmented Intelligence Augmented Predictive Intelligence Platform,2016,B2B,11-50,A,Undisclosed,", enterprise-solutions, artificial-intelligence"
MetoMotion,MetoMotion Robotic System for Greenhouses,2016,B2B,1-10,Seed,$10.21M,", , , , , , , , , automation, cannabis, 3d-imaging"
Mica AI Medical,Mica AI Medical Decision-support Platform for the Early Detection of Breast Cancer,2019,B2B,1-10,A,$4.23M,", , , , , , , , , , , , , , , , , , , machine-vision, hospitals, femtech"
MilagroAI,MilagroAI Autonomous Medical Coding,2017,B2B,11-50,Seed,$10.43M,", , , , , , , , , surveillance, natural-language-processing"
MilgoSense,MilgoSense AI-based Diagnostic Tool for Schizophrenia,2023,B2B,1-10,Pre-Funding,Undisclosed,", , mental-health, artificial-intelligence"
MIND,MIND Data Security Platform that Automates DLP and IRM Programs,2022,B2B,11-50,Seed,$11M,", data-breach, artificial-intelligence, dlp"
Mind Impact,Mind Impact Well-being Management Platform for Enterprises,2020,"B2B, B2B2C, B2G",1-10,Pre-Funding,Undisclosed,", , , , , , , , , , , , consumers, digital-therapeutics, prevention"
Mindfly,Mindfly AI-powered Bodycam for Sports Footage,2021,B2B,11-50,Seed,$1.7M,", , , , , , nft, cloud-based, sports-tech"
Mindnotice,Mindnotice AI-based Construction Safety Solution,2020,B2B,1-10,Pre-Funding,Undisclosed,", , construction, artificial-intelligence"
MindoLife IoT,"MindoLife IoT IoT HVAC System, BMS & BEMS",2014,"B2B, B2C",11-50,Mature,$1.25M,", , , , , , , , , , , , , , , automation, sensors, industry-4.0"
Mindtension,Mindtension Rapid Diagnostic Platform for Measuring ADHD,2020,B2B,1-10,Seed,$5M,", , , , , , , , medical-devices, healthcare-providers"
MineOS,MineOS Data Privacy Platform,2018,"B2B2C, B2C",51-200,B,$42.5M,", , , , , machine-learning, data-protection"
MinerEye,MinerEye Tracking and Protecting Sensitive Data,2015,B2B,1-10,Seed,$6.1M,", , , , , , , , , , , , , , , enterprise-solutions, network-security, security"
Minute.ly,Minute.ly AI-based Video Optimization Solutions,2014,"B2B, B2B2C",11-50,Mature,$12M,", , , , , , , , , , , , , , , , , , , , , , , monetization, deep-learning, ott"
MISTRIX,MISTRIX Hyper-personalized Beauty Campaigns,2021,"B2B, B2B2C",1-10,Pre-Funding,Undisclosed,", , , , , , , , , , saas, mobile-applications"
MobileODT,MobileODT AI-based Cervical Cancer Screening Solutions,2012,B2B,11-50,C,$22.48M,", , , , , , , , , , , , , , , , , , , , , , , , patient-engagement, women, femtech"
Mobility Insight,Mobility Insight Urban Traffic Management Technology,2013,"B2C, B2G",1-10,A,$7M,", , , , , , , , , artificial-intelligence, fleet-management"
Modal AI,Modal AI Knowledge Representation and Reasoning Engine,2018,"B2B, B2G",1-10,Pre-Funding,Undisclosed,", , , , , , , , , , , , personalization, artificial-intelligence, blockchain"
Momentis Surgical,Momentis Surgical Robot-assisted Surgical Platform,2012,B2B,51-200,E,$140.45M,", , , , , , , , , , , operating-rooms, artificial-intelligence"
Mona,Mona Intelligent Monitoring Solution for AI and Data-driven Applications,2018,B2B,11-50,Seed,$2M,", software-applications, artificial-intelligence, big-data"
Moodify,Moodify Software-defined Scents,2017,"B2B, B2B2C, B2C",11-50,A,$19.3M,", , , , , , , , , , , , , , , , , , digital-therapeutics, personalization, monitoring"
Moonshot Marketing,Moonshot Marketing Online Marketing Platform,2014,B2B,51-200,Mature,Undisclosed,", , , , , , , conversion-optimization, machine-learning, a/b-testing"
MotionAnalytics,MotionAnalytics The Future of Biomechanical AI,2024,B2B,1-10,Pre-Funding,$150K,", , , , , , , , , , , , , , , , , , , , , , , , , , , , mobile-applications, human-machine-interface"
MTtech,MTtech Smart Kitchen and Office Systems,2016,"B2B, B2B2C, B2G",1-10,Seed,$1.02M,", , , , , , , , consumers, consumer-electronics, military"
MULTI FOR ALL,MULTI FOR ALL Child Language Assessment App with Guidance for Parents,2019,"B2C, B2G",1-10,Pre-Funding,$0,", , , , , , , , education, digital-healthcare"
Muonovate,Muonovate Web Platform for Virtual 3D Spaces,2021,"B2B, B2B2C",1-10,Pre-Funding,Undisclosed,", , , , proptech, consumers, retailers"
Mush Foods,Mush Foods Mushroom Mycelium-based Protein,2021,B2B,11-50,Seed,$7.45M,", , , , biotechnology, food-and-beverage, foodtech"
Muze Art,Muze Art AI-Generated Music Videos,2022,"B2B, B2B2C",1-10,Pre-Funding,$25K,", , , digital-media, entertainment"
myAir,myAir Data-driven Personalized Plant-based Nutrition for Stress Management,2019,"B2B, B2B2C, B2C",11-50,Seed,$6M,", , , , , , , , , , , nutrition, digital-therapeutics"
MyBiotics Pharma,MyBiotics Pharma Clinically Effective Microbiome and Probiotic Products,2014,"B2B, B2C",11-50,A,$11.27M,", , , , , , , , , , , , , , , , , , , , , , biotechnology, bioconvergence"
Mycelium,Mycelium Route Management and Optimization,2017,"B2B, B2G",1-10,Pre-Funding,Undisclosed,", , , , , , , , , , , , , , , , , , , , , retailers, fleet-management"
MyCrops,MyCrops Smart Crop Monitoring for Precision Agriculture,2016,B2B,1-10,Seed,$2.7M,", , , , , , , machine-learning, healthcare-providers, consumers"
myInterview,myInterview Video Interviewing Platform,2013,B2B,11-50,A,$17.9M,", , , , , , , , , , , , , , machine-learning, cloud-based"
MyMilk Labs,MyMilk Labs Breastfeeding Tracking and Analysis Platform,2012,"B2B2C, B2C",1-10,Pre-Funding,$0,", , , , , , , , , , , , , , , , , , , women-health, healthcare-providers, nutrition"
MyndYou,MyndYou AI-powered Virtual Care Assistant,2016,"B2B, B2B2C",11-50,A,$12.4M,", , , , , , , , , , , , , , , , , , , , , , , , insurance-companies, virtual-assistant"
MyOr Diagnostics,MyOr Diagnostics Preventive Healthcare for Children,2018,"B2B2C, B2C",11-50,A,$5.5M,", , , , , , , , , , , , , , , , , , , , monitoring, personalized-treatment"
MyPart,MyPart Song Search and Matching Platform,2016,"B2B, B2C",11-50,Pre-Funding,$0,", , , , , , , , , , , , , , , , enterprise-solutions, signal-processing"
MyQuest,MyQuest Online Training and Knowledge Sharing,2013,B2B,11-50,Mature,$2.23M,", , , , , , , , , , , , , , web-platform, employee-training, enterprises"
MyselfFit,MyselfFit Mobile App for Accurately Measuring Body Fat Percentage,2016,"B2B, B2C",1-10,Pre-Funding,Undisclosed,", , , , , , , , , , , social-media, machine-learning, nutrition"
Nagish,Nagish Text and Speech Conversion,2022,B2C,11-50,A,$16M,", artificial-intelligence, text-to-speech"
NakAI Robotics,NakAI Robotics Autonomous Ship Cleaning and Inspection for Ocean Health Preservation,2021,B2B,11-50,Seed,$2.14M,", , , , , robotics, machine-learning, marine"
Namogoo,Namogoo Digital Journey Continuity Platform,2014,B2B,51-200,Mature,$68M,", , , , , , , , , , , ecommerce, privacy-protection"
Nando Drones,Nando Drones Autonomous Drone-based Solutions,2017,"B2B, B2B2C",1-10,Seed,$1.5M,", , , , , , , , , , , , , , , , monitoring, perimeter-security, defense"
Nanit,Nanit Smart Baby Monitor and Sleep Tracker Devices,2014,"B2B, B2C",51-200,C,$74.6M,", , , , , , , , , , , , , , , , , , , , , ecommerce, actionable-insights"
Nanna,Nanna Parenting Chat Bot App,2016,B2C,1-10,Pre-Funding,Undisclosed,", , , , , , parents, recommendations"
NanoScout,NanoScout Nano-morphology Detection at Scale,2020,B2B,1-10,Pre-Funding,Undisclosed,", , , , , , , , , software-applications, digital-healthcare"
NaNose Medical,"NaNose Medical Early Diagnosis and monitoring with a single breath. Timely, accurate and accessible.",2019,"B2B, B2B2C, B2C",1-10,A,$10.83M,", , , , , , , , , , , , , monitoring, metabolic-disease"
Nanovel,Nanovel Automatic Fruit-picking Machine,2018,B2B,11-50,Pre-Funding,$900K,", , artificial-intelligence, agtech, robotics"
Neefla Technologies,Neefla Technologies Automatic Bidding Platform For Advertisers,2017,B2B,1-10,Pre-Funding,Undisclosed,", , , , , , , , , , , , , , , media-buying, enterprise-solutions"
Nemesysco,Nemesysco Voice Analysis for Human Emotion Detection,2000,"B2B, B2G",11-50,Mature,Undisclosed,", , , , , , , , , , , , , , , , , , , , wellness, remote-monitoring"
Nemodata,Nemodata Fleet Management Platform,2020,B2B,11-50,Seed,Undisclosed,", , logistics, artificial-intelligence"
Neolithics,Neolithics Quality Control Solution for Fresh Produce,2021,B2B,11-50,Seed,$316.15K,", , , , , , , quality-assurance, image-recognition"
Neowize,Neowize ACQUIRED Ecommerce Site Personalization,2015,B2B,1-10,Acquired,$840K,", , , , , , , , , , machine-learning, personalization"
Neox,Neox Early Detection of Deterioration in Preterm Neonates,2021,B2B,1-10,Pre-Funding,$0,", , , , , , artificial-intelligence, digital-healthcare"
NetaGenomiX,NetaGenomiX Revolutionizing Plant Genetics,2022,B2B,1-10,Seed,Undisclosed,", , , , genome-editing, climate-tech"
Neteera,Neteera Contactless Remote Patient Monitoring Platform,2014,"B2B, B2B2C, B2C",51-200,B,$36.4M,", , , , , , , , , , , , , , , , , , , , , , , , , medical-devices, sleep-disorders, optronics"
Neuledge,Neuledge Converting Data to a Knowledge Base,2018,B2B,1-10,Pre-Funding,Undisclosed,", , , , , , , , , search-engine, semantic-search"
Neural Guard,Neural Guard AI-powered Automated Threat Detection,2017,"B2B, B2G",11-50,Seed,$2.1M,", , , , , artificial-intelligence, x-ray, detection"
NeuraLight,NeuraLight AI-driven Platform for Digitizing Neurology,2021,B2B,11-50,A,$30.5M,", , , , , , , , , , , , , , , , , mobile-applications, telemedicine, neurology"
NeuReality,NeuReality ACQUIRED AI Inferencing Platforms,2019,B2B,51-200,Acquired,$63M,", , , , , , , , deep-learning, energy-efficiency"
NeuroAudit,NeuroAudit Neuromodulation Protocols for Personalized Brain Disease Treatment,2016,B2B,1-10,Pre-Funding,$0,", , , , , , , artificial-intelligence, adhd, treatments"
Neurobrave,Neurobrave Software Platform for Analyzing Neural Biomarkers/Insights,2020,B2B,11-50,Seed,$3M,", , , , , , , , artificial-intelligence, biosensors, wellness"
Neurogait,Neurogait Monitoring Parkinson's Using AI,2019,"B2B, B2B2C",1-10,Seed,Undisclosed,", , , , , , , , , , , , , , early-detection, medical-devices"
NeuroHELP,NeuroHELP Portable Neurotechnology for Forecasting Epileptic Seizures,2018,B2B,11-50,Pre-Funding,Undisclosed,", , , , , , wearable, children, algorithms"
Neurolief,Neurolief Brain Neuromodulation Technology,2013,"B2B, B2B2C",11-50,Mature,$5.3M,", , , , , , , , , , , , , , , , , , , home-care, mobile-applications"
Neuronix AI Labs,Neuronix AI Labs ACQUIRED Computer Vision-based Artificial Intelligence,2020,B2B,1-10,Acquired,$1.5M,", computer-vision, artificial-intelligence"
Neurosteer,Neurosteer Remote Brain Activity Monitoring and Assessment Platform,2015,"B2B, B2C",11-50,Seed,$2.56M,", , , , , , , , , , , , , , , , , , , , , , , , , , brain-disorder, remote-monitoring"
Neurotech Solutions,Neurotech Solutions AI-based Technology for Diagnosing ADHD,2008,"B2B, B2B2C",11-50,Mature,$3.55M,", , , , , , , , , , , , , , , , , , , , , , , treatments, artificial-intelligence, monitoring"
Nevette,Nevette AI-powered Optimization and Automation Technology for Machines and Systems,2018,B2B,1-10,Pre-Funding,Undisclosed,", , , , , , , , , , , , , , , machinery, predictive-maintenance, automotive"
Nevia bio,Nevia bio Biomarkers for Women’s Health Solutions,2020,"B2B, B2B2C",1-10,Seed,$5M,", , , , , , , , , , cancer-diagnostics, remote-monitoring, femtech"
Newphotonics,Newphotonics Silicon Photonic Chip Technology for Data Centers,2020,B2B,11-50,Seed,$39.14M,", , , , , , , deep-learning, quantum-computing"
Newsight Imaging,Newsight Imaging CMOS Image Sensor Chips for Machine Vision and Spectral Analysis,2016,B2B,11-50,A,$14.1M,", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , autonomous-vehicles, manufacturing-facilities"
Newton Tech,Newton Tech AI-based Precision Rehabilitation Solution,2016,"B2B, B2G",11-50,Pre-Funding,Undisclosed,", , , , , , , , , assistive-devices, vr, aerospace"
Nexar,Nexar Community-based AI Dashcam App,2015,"B2B, B2B2C, B2C, B2G",51-200,D,$149.5M,", , , , , , , , , , , , , , , , , , road-safety, smart-mobility"
Next-Step Tech,Next-Step Tech Clinical Research Systems,2014,"B2B, B2C, B2G",11-50,Mature,Undisclosed,", , , , , , , , , clinical-workflow, artificial-intelligence, emr"
Niio,Niio Distribution and Display Platform for Digital Art,2014,"B2B, B2B2C, B2C",11-50,A,$20.5M,", , , , , , , , , , , , , , , , , , , , , digital-media, advertising, video"
Niloosoft,Niloosoft Recruitment SaaS,2003,"B2B, B2G",11-50,Mature,Undisclosed,", , , , , , , , enterprises, artificial-intelligence"
Nimble Beauty,Nimble Beauty Nail-painting Robot,2016,B2C,11-50,A,$10.15M,", , , , , , , direct-to-consumer, deep-learning"
Nine Plus Life,Nine Plus Life Online Marketplace Connecting Pregnant Women with Doulas,2017,B2C,1-10,Seed,$55K,", , , , , , , , , , , , , behavior-analytics, women-health, femtech"
nipendo,nipendo ACQUIRED RPA and AI Platform for Purchase-to-pay Process Automation,2007,"B2B, B2G",11-50,Acquired,$12M,", , , , , , , , , , , , , , , , , , , , , , , , , pharma-companies, machine-learning"
Nixale,"Nixale AI-powered Personalization, Search and Marketing Automation",2017,B2B,1-10,Pre-Funding,Undisclosed,", , , , , , , , , , , , artificial-intelligence, ecommerce"
Nlight.io,Nlight.io Gameplay Analytics Company,2018,B2C,1-10,Seed,Undisclosed,", , , , game-development, artificial-intelligence"
Nobify,Nobify AI-Driven Bird Deterrence System,2024,B2B,1-10,Pre-Seed,$1M,", renewable-energy, agtech, aquaculture"
noogata,noogata Facilitating Machine-learning Solutions for Enterprises,2018,B2B,11-50,A,$28M,", , , , machine-learning, data-science"
Notal Vision,Notal Vision Remote Patient Monitoring for Retinal Diseases,2000,B2B2C,51-200,D,$94.05M,", , , , , , , , , , , , , , , , , , , , , imaging, non-invasive"
NoTraffic,NoTraffic AI System for Managing Urban Mobility,2017,"B2B, B2G",51-200,B,$75.65M,", , , , , , , , , , , , , , , , , communications, shared-mobility"
